"Name","Nationality","Age","Stage","Composer","Piece","Movement"
"Rachel Kudo","American Japanese","29","Round 1: 20-Minute Recital","Domenico Scarlatti","","Sonata in A Major K.332
Sonata in A minor K.175"
"Rachel Kudo","American Japanese","29","Round 1: 20-Minute Recital","Johannes Brahms","Variations on a theme by Paganini Op.35 Book I",""
"Rachel Kudo","American Japanese","29","Round 2: 30-Minute Recital","Aaron Copland","The Cat and the Mouse",""
"Rachel Kudo","American Japanese","29","Round 2: 30-Minute Recital","Claude Debussy","","Étude No.1 ‘pour les cinq doigts d’après Monsieur Czerny’
Étude No.2 ‘pour les tierces’ (thirds)
Étude No.3 ‘pour les quartes’ (fourths)"
"Rachel Kudo","American Japanese","29","Round 2: 30-Minute Recital","Carl Vine","Piano Sonata No.1 (1990)","Lento
Leggiero e legato"
"Rachel Kudo","American Japanese","29","Round 1: 65-Minute Recital","Johann Sebastian Bach","Overture in the French style in B minor BWV 831","Overture
Courante
Gavotte
Passepied
Sarabande
Bourée I/II
Gigue
Echo"
"Rachel Kudo","American Japanese","29","Round 1: 65-Minute Recital","Ludwig van Beethoven","Piano Sonata No.18 in E♭ Major Op.31 No.3 ‘The Hunt’","Allegro
Scherzo. Allegretto vivace
Menuetto. Moderato e grazioso
Presto con fuoco"
"Rachel Kudo","American Japanese","29","Round 1: 65-Minute Recital","Samuel Barber","Sonata in E♭ minor Op.26","Allegro energico
Allegro vivace e leggero
Adagio mesto
Fuga: Allegro con spirito"
"Rachel Kudo","American Japanese","29","Round 2: Accompaniment/Chamber Music","Ludwig van Beethoven","Sonata for Piano and Violin No.9 in A Major Op.47 ‘Kreutzer’","Adagio sostenuto – Presto
Andante con variazioni
Presto"
"Rachel Kudo","American Japanese","29","Round 2: Accompaniment/Chamber Music","Antonín Dvořák","Piano Quintet No.2 in A Major Op.81","Allegro, ma non tanto
Dumka: Andante con moto
Scherzo (Furiant): molto vivace
Finale: Allegro"
"Rachel Kudo","American Japanese","29","Round 1: 18th Century Concerto","Wolfgang Amadeus Mozart","Concerto No.21 in C Major K.467","Allegro maestoso
Andante
Allegro vivace assai"
"Rachel Kudo","American Japanese","29","Round 2: 19th or 20th Century Concerto","Johannes Brahms","Concerto No.2 in B♭ Major Op.83","Allegro non troppo
Allegro appassionato
Andante
Allegretto grazioso"
"Ming Xie","Chinese","22","Round 1: 20-Minute Recital","Enrique Granados","El Amor y la muerte (Balada) from ‘Goyescas’ Op.11",""
"Ming Xie","Chinese","22","Round 1: 20-Minute Recital","Gérard Pesson","Vexierbilder II: Speech of clouds",""
"Ming Xie","Chinese","22","Round 1: 20-Minute Recital","Felix Mendelssohn/Sergei Rachmaninoff","Scherzo from ‘Midsummer Night's Dream’",""
"Ming Xie","Chinese","22","Round 2: 30-Minute Recital","Percy Grainger","Ramble on Love after Richard Strauss' ‘Der Rosenkavalier’ (1927)",""
"Ming Xie","Chinese","22","Round 2: 30-Minute Recital","Maurice Ravel","Gaspard de la nuit","Ondine
Le Gibet
Scarbo"
"Ming Xie","Chinese","22","Round 1: 65-Minute Recital","Isaac Albéniz","Iberia Book I: 1. Evocación",""
"Ming Xie","Chinese","22","Round 1: 65-Minute Recital","Karol Szymanowski","from 4 Études Op.4","Allegro moderato
Allegro molto"
"Ming Xie","Chinese","22","Round 1: 65-Minute Recital","Ludwig van Beethoven","5 Variations on Rule Britannia WoO 79",""
"Ming Xie","Chinese","22","Round 1: 65-Minute Recital","César Franck","Prélude, Chorale et Fugue",""
"Ming Xie","Chinese","22","Round 1: 65-Minute Recital","Sergei Prokofiev","Piano Sonata No.6 in A Major Op.82","Allegro inquieto
Allegretto
Tempo di valzer, lentissimo
Vivace"
"Ming Xie","Chinese","22","Round 2: Accompaniment/Chamber Music","Gabriel Fauré","Sonata for Violin and Piano No.1 in A Major Op.13","Allegro molto
Andante
Allegro vivo
Allegro quasi presto"
"Ming Xie","Chinese","22","Round 2: Accompaniment/Chamber Music","Robert Schumann","Piano Quintet in E♭ Major Op.44","Allegro brillante
In modo d’una marcia. Un poco largarmente
Scherzo: Molto vivace
Allegro ma non troppo"
"Ming Xie","Chinese","22","Round 1: 18th Century Concerto","Wolfgang Amadeus Mozart","Concerto No.24 in C minor K.491","Allegro
Larghetto
Allegretto"
"Ming Xie","Chinese","22","Round 2: 19th or 20th Century Concerto","Sergei Prokofiev","Concerto No.3 in C Major Op.26","Andante. Allegro
Tema con variazioni
Allegro, ma non troppo"
"Larry Weng","American","29","Round 1: 20-Minute Recital","Frédéric Chopin","Polonaise Fantasie in A♭ Major Op.61",""
"Larry Weng","American","29","Round 1: 20-Minute Recital","Maurice Ravel","Alborada del gracioso from ‘Miroirs’",""
"Larry Weng","American","29","Round 2: 30-Minute Recital","Maurice Ravel","Oiseaux Tristes from ‘Miroirs’",""
"Larry Weng","American","29","Round 2: 30-Minute Recital","Carl Vine","from Five Bagatelles (1994)","III. Gentle
IV.
V. Threnody"
"Larry Weng","American","29","Round 2: 30-Minute Recital","Ludwig van Beethoven","Piano Sonata No.30 in E Major Op.109","Vivace ma non troppo. Adagio espressivo
Prestissimo
Gesangvoll, mit innigster Empfindung. Andante molto cantabile ed espressivo"
"Larry Weng","American","29","Round 1: 65-Minute Recital","Franz Schubert","Piano Sonata No.20 D.959","Allegro
Andantino
Scherzo. Allegro vivace
Rondo. Allegretto"
"Larry Weng","American","29","Round 1: 65-Minute Recital","Maurice Ravel","Une barque sur l'ocean and La vallée des cloches from ‘Miroirs’",""
"Larry Weng","American","29","Round 1: 65-Minute Recital","Sergei Prokofiev","Sonata No.7 in B♭ Major Op.83","Allegro inquieto
Andante caloroso
Precipitato"
"Larry Weng","American","29","Round 2: Accompaniment/Chamber Music","César Franck","Sonata for Violin and Piano in A Major","Allegretto ben moderato
Allegro
Ben moderato: Recitative-Fantasia
Allegretto poco mosso"
"Larry Weng","American","29","Round 2: Accompaniment/Chamber Music","Robert Schumann","Piano Quintet in E♭ Major Op.44","Allegro brillante
In modo d’una marcia. Un poco largarmente
Scherzo: Molto vivace
Allegro ma non troppo"
"Larry Weng","American","29","Round 1: 18th Century Concerto","Wolfgang Amadeus Mozart","Concerto No.21 in C Major K.467","Allegro maestoso
Andante
Allegro vivace assai"
"Larry Weng","American","29","Round 2: 19th or 20th Century Concerto","Johannes Brahms","Concerto No.2 in B♭ Major Op.83","Allegro non troppo
Allegro appassionato
Andante
Allegretto grazioso"
"Yinfei Wang","Chinese","30","Round 1: 20-Minute Recital","Domenico Scarlatti","Sonata in B minor K. 87",""
"Yinfei Wang","Chinese","30","Round 1: 20-Minute Recital","Franz Liszt","Réminiscences de Don Juan S.418",""
"Yinfei Wang","Chinese","30","Round 1: 20-Minute Recital","Carl Vine","Toccatissimo (2011)",""
"Yinfei Wang","Chinese","30","Round 1: 20-Minute Recital","Ludwig van Beethoven","Piano Sonata No.32 in C minor Op.111","Maestoso – Allegro con brio ed appassionato
Arietta: Adagio molto semplice e cantabile"
"Yinfei Wang","Chinese","30","Round 1: 65-Minute Recital","Frédéric Chopin","Piano Sonata No.3 in B minor Op.58","Allegro maestoso
Scherzo: Molto vivace
Largo
Finale: Presto non tanto; Agitato"
"Yinfei Wang","Chinese","30","Round 1: 65-Minute Recital","Maurice Ravel","Gaspard de la Nuit","Ondine
Le Gibet
Scarbo"
"Yinfei Wang","Chinese","30","Round 1: 65-Minute Recital","Alexander Scriabin","Piano Sonata No.4 in F♯ Major Op.30","Andante
Prestissimo volando"
"Yinfei Wang","Chinese","30","Round 2: Accompaniment/Chamber Music","Johannes Brahms","Sonata for Violin and Piano No.3 in D minor Op.108","Allegro
Adagio
Un poco presto e con sentimento
Presto agitato"
"Yinfei Wang","Chinese","30","Round 2: Accompaniment/Chamber Music","Antonín Dvořák","Piano Quintet No.2 in A Major Op.81","Allegro, ma non tanto
Dumka: Andante con moto
Scherzo (Furiant): molto vivace
Finale: Allegro"
"Yinfei Wang","Chinese","30","Round 1: 18th Century Concerto","Wolfgang Amadeus Mozart","Concerto No.23 in A Major K.488","Allegro
Adagio
Allegro assai"
"Yinfei Wang","Chinese","30","Round 2: 19th or 20th Century Concerto","Frédéric Chopin","Concerto No.2 in F minor Op.21","Maestoso
Larghetto
Allegro vivace"
"Oxana Shevchenko","Kazakh","29","Round 1: 20-Minute Recital","Jean-Philippe Rameau","Allemande from Suite in E minor",""
